Comment,Designator,Footprint,LCSC
1k,R1,R_0603_1608Metric,C21190
D_Small,"D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D11,D111,D112,D113,D114,D115,D116,D117,D118,D12,D122,D123,D124,D125,D126,D127,D128,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",D_SOD-123_THT_Back,C8598
Pico,U1,RPi_Pico_SMD_TH_Alt,
